iter	Passed	Remaining
0	2	2725
1	5	2738
2	7	2653
3	10	2690
4	13	2678
5	16	2659
6	18	2662
7	21	2694
8	25	2760
9	28	2790
10	31	2863
11	34	2871
12	37	2864
13	40	2863
14	43	2878
15	47	2903
16	50	2920
17	53	2916
18	56	2927
19	60	2951
20	63	2957
21	67	2985
22	70	2974
23	72	2967
24	76	2976
25	79	2981
26	82	2982
27	85	2976
28	88	2972
29	91	2963
30	94	2958
31	97	2950
32	100	2954
33	104	2965
34	107	2965
35	110	2961
36	113	2960
37	116	2961
38	118	2928
39	121	2925
40	124	2920
41	127	2913
42	130	2903
43	133	2903
44	136	2902
45	139	2897
46	142	2887
47	144	2874
48	148	2876
49	151	2876
50	154	2870
51	157	2866
52	159	2858
53	162	2854
54	165	2848
55	168	2845
56	171	2838
57	175	2843
58	178	2848
59	181	2849
60	184	2843
61	187	2839
62	190	2835
63	193	2833
64	197	2834
65	199	2829
66	203	2829
67	206	2831
68	209	2832
69	213	2832
70	216	2827
71	219	2824
72	222	2826
73	225	2823
74	228	2820
75	231	2818
76	234	2814
77	238	2814
78	241	2810
79	244	2811
80	247	2810
81	250	2805
82	254	2806
83	257	2802
84	260	2801
85	263	2797
86	266	2793
87	269	2792
88	272	2791
89	275	2790
90	279	2789
91	282	2786
92	285	2784
93	288	2780
94	291	2775
95	294	2772
96	298	2775
97	301	2773
98	304	2770
99	307	2766
100	310	2760
101	312	2755
102	315	2748
103	318	2744
104	321	2736
105	323	2731
106	326	2726
107	329	2718
108	331	2711
109	334	2703
110	336	2697
111	339	2689
112	342	2684
113	344	2678
114	347	2673
115	350	2667
116	352	2660
117	355	2655
118	357	2648
119	360	2642
120	362	2635
121	365	2629
122	367	2623
123	370	2618
124	373	2612
125	376	2609
126	379	2606
127	381	2600
128	384	2598
129	387	2596
130	391	2593
131	394	2592
132	397	2588
133	400	2585
134	403	2582
135	406	2579
136	409	2577
137	412	2575
138	415	2571
139	417	2567
140	421	2565
141	423	2561
142	426	2557
143	430	2556
144	432	2552
145	435	2549
146	438	2545
147	441	2542
148	444	2541
149	448	2539
150	451	2538
151	454	2535
152	457	2533
153	461	2532
154	464	2530
155	467	2528
156	470	2524
157	473	2522
158	476	2520
159	479	2518
160	482	2514
161	485	2511
162	488	2509
163	491	2507
164	495	2506
165	498	2503
166	501	2501
167	504	2499
168	507	2496
169	510	2494
170	513	2490
171	516	2488
172	519	2485
173	522	2482
174	525	2478
175	528	2474
176	531	2470
177	534	2468
178	537	2465
179	540	2461
180	542	2456
181	545	2452
182	548	2447
183	551	2443
184	554	2440
185	557	2438
186	560	2435
187	563	2434
188	566	2431
189	569	2429
190	573	2428
191	576	2426
192	579	2423
193	583	2422
194	585	2418
195	589	2416
196	592	2414
197	595	2412
198	598	2409
199	601	2406
200	604	2403
201	608	2402
202	611	2399
203	614	2396
204	616	2392
205	619	2388
206	622	2386
207	626	2384
208	629	2381
209	632	2378
210	635	2374
211	638	2371
212	641	2368
213	643	2365
214	647	2363
215	650	2362
216	653	2358
217	657	2357
218	660	2355
219	663	2352
220	666	2349
221	669	2347
222	672	2344
223	675	2341
224	679	2339
225	682	2337
226	686	2336
227	689	2334
228	692	2331
229	695	2328
230	698	2326
231	701	2322
232	704	2319
233	707	2315
234	710	2311
235	712	2307
236	715	2303
237	718	2299
238	720	2295
239	723	2290
240	726	2287
241	729	2284
242	732	2280
243	734	2276
244	737	2272
245	740	2268
246	743	2265
247	745	2261
248	748	2256
249	750	2251
250	753	2247
251	755	2242
252	758	2238
253	760	2234
254	763	2230
255	766	2227
256	768	2223
257	771	2220
258	775	2217
259	778	2214
260	780	2211
261	783	2207
262	786	2204
263	789	2202
264	793	2200
265	796	2197
266	799	2195
267	802	2193
268	806	2191
269	809	2188
270	812	2186
271	815	2183
272	819	2182
273	822	2179
274	825	2177
275	829	2174
276	832	2173
277	835	2171
278	839	2169
279	843	2167
280	846	2165
281	849	2163
282	852	2160
283	855	2158
284	859	2155
285	862	2152
286	865	2149
287	868	2147
288	871	2144
289	874	2141
290	877	2138
291	881	2136
292	883	2132
293	886	2129
294	889	2125
295	892	2123
296	896	2121
297	899	2118
298	902	2115
299	905	2112
300	908	2109
301	911	2107
302	914	2104
303	918	2102
304	921	2100
305	925	2098
306	928	2097
307	931	2093
308	935	2091
309	938	2088
310	941	2084
311	943	2080
312	946	2077
313	949	2073
314	951	2070
315	954	2066
316	957	2063
317	960	2060
318	963	2057
319	967	2054
320	970	2052
321	973	2049
322	976	2046
323	979	2043
324	982	2040
325	985	2037
326	988	2034
327	991	2031
328	994	2028
329	997	2026
330	1001	2023
331	1004	2020
332	1007	2018
333	1010	2015
334	1013	2012
335	1016	2009
336	1020	2007
337	1023	2004
338	1026	2001
339	1030	1999
340	1033	1997
341	1036	1994
342	1039	1991
343	1043	1989
344	1045	1985
345	1048	1982
346	1052	1980
347	1055	1977
348	1058	1975
349	1061	1972
350	1065	1969
351	1068	1966
352	1071	1964
353	1075	1961
354	1078	1959
355	1081	1956
356	1084	1953
357	1087	1950
358	1090	1947
359	1093	1944
360	1096	1941
361	1100	1939
362	1103	1936
363	1106	1933
364	1109	1929
365	1112	1926
366	1114	1922
367	1117	1919
368	1120	1916
369	1123	1912
370	1125	1908
371	1128	1905
372	1131	1901
373	1133	1897
374	1136	1893
375	1138	1889
376	1141	1885
377	1144	1882
378	1146	1878
379	1149	1874
380	1151	1871
381	1154	1867
382	1157	1864
383	1161	1863
384	1164	1860
385	1167	1856
386	1169	1852
387	1173	1850
388	1176	1847
389	1179	1844
390	1182	1841
391	1185	1839
392	1188	1835
393	1191	1832
394	1194	1829
395	1197	1827
396	1200	1823
397	1204	1821
398	1207	1818
399	1210	1815
400	1213	1813
401	1217	1810
402	1220	1808
403	1223	1805
404	1227	1802
405	1230	1799
406	1233	1797
407	1236	1794
408	1240	1792
409	1243	1789
410	1246	1786
411	1249	1783
412	1251	1778
413	1254	1775
414	1257	1772
415	1260	1769
416	1263	1766
417	1266	1763
418	1269	1760
419	1273	1758
420	1276	1755
421	1279	1752
422	1282	1749
423	1285	1746
424	1288	1743
425	1292	1741
426	1295	1738
427	1298	1735
428	1301	1732
429	1304	1729
430	1307	1726
431	1310	1723
432	1313	1720
433	1316	1717
434	1319	1714
435	1322	1711
436	1326	1708
437	1329	1705
438	1332	1702
439	1334	1699
440	1338	1696
441	1342	1694
442	1344	1691
443	1347	1687
444	1350	1684
445	1354	1682
446	1357	1679
447	1360	1676
448	1364	1674
449	1367	1671
450	1371	1669
451	1374	1666
452	1378	1664
453	1381	1661
454	1385	1659
455	1388	1656
456	1391	1653
457	1395	1651
458	1398	1648
459	1402	1645
460	1405	1643
461	1409	1640
462	1412	1638
463	1416	1636
464	1419	1633
465	1423	1630
466	1426	1627
467	1429	1624
468	1431	1620
469	1434	1617
470	1437	1614
471	1440	1611
472	1444	1609
473	1448	1607
474	1452	1605
475	1456	1602
476	1459	1600
477	1463	1597
478	1467	1595
479	1471	1593
480	1474	1591
481	1478	1588
482	1481	1586
483	1485	1583
484	1488	1580
485	1491	1577
486	1494	1574
487	1498	1572
488	1502	1569
489	1505	1567
490	1509	1564
491	1513	1562
492	1517	1560
493	1521	1558
494	1524	1555
495	1533	1558
496	1538	1556
497	1543	1555
498	1549	1555
499	1553	1553
500	1558	1552
501	1564	1551
502	1568	1549
503	1572	1548
504	1577	1546
505	1581	1543
506	1586	1542
507	1590	1540
508	1594	1538
509	1598	1535
510	1603	1534
511	1608	1532
512	1612	1530
513	1616	1528
514	1620	1525
515	1623	1523
516	1626	1519
517	1630	1517
518	1635	1515
519	1639	1513
520	1643	1511
521	1647	1508
522	1651	1505
523	1653	1502
524	1657	1499
525	1659	1495
526	1662	1492
527	1665	1489
528	1668	1485
529	1671	1482
530	1674	1478
531	1677	1475
532	1680	1472
533	1683	1469
534	1686	1466
535	1689	1462
